customer_id,first_name,last_name,email,address_id,Random_id
1,Mary,Smith,mary.smith@mailid.com,5,1
2,Patricia,Johnson,patricia.johnson@mailid.com,6,2
3,Madan,Mohan,madan.mohan@mailid.com,7,3
4,Barbara,Jones,barbara.jones@mailid.com,8,4
5,Elizabeth,Brown,elizabeth.brown@mailid.com,9,5
6,Jennifer,Davis,jennifer.davis@mailid.com,10,6
7,Maria,Miller,maria.miller@mailid.com,11,7
8,Susan,Wilson,susan.wilson@mailid.com,12,8
9,R,Madhav,r.madhav@mailid.com,13,9
10,Dorothy,Taylor,dorothy.taylor@mailid.com,14,10
11,Lisa,Anderson,lisa.anderson@mailid.com,15,11
12,Nancy,Thomas,nancy.thomas@mailid.com,16,12
13,Karen,Jackson,karen.jackson@mailid.com,17,13
14,Betty,White,betty.white@mailid.com,18,14
15,Helen,Harris,helen.harris@mailid.com,19,15
